id;name;description;author;genre;price;status;publishYear;stockDate
1;Преступление и наказание;"История бывшего студента, совершившего убийство из-за своей теории";Федор Достоевский;Роман;450.0;IN_STOCK;1866;2025-10-25
2;Мастер и Маргарита;Мистическая история о визите дьявола в Москву 1930-х годов;Михаил Булгаков;Фантастика;520.0;IN_STOCK;1967;2025-10-20
3;1984;Антиутопия о тоталитарном обществе под постоянным контролем;Джордж Оруэлл;Антиутопия;380.0;IN_STOCK;1949;2025-10-15
4;Гарри Поттер и философский камень;Первая книга о юном волшебнике и его обучении в Хогвартсе;Джоан Роулинг;Фэнтези;550.0;IN_STOCK;1997;2025-10-22
5;Тень горы;Продолжение истории Линдсея Форда о его жизни в Индии;Грегори Дэвид Робертс;Приключения;510.0;IN_STOCK;2015;2025-10-18
6;Война и мир;Эпопея о судьбах русских аристократов во время наполеоновских войн;Лев Толстой;Роман-эпопея;680.0;IN_STOCK;1869;2024-03-10
7;Три товарища;История дружбы трех ветеранов Первой мировой войны в послевоенной Германии;Эрих Мария Ремарк;Роман;420.0;IN_STOCK;1936;2024-04-05
8;Маленький принц;Философская притча о встрече летчика с мальчиком с другой планеты;Антуан де Сент-Экзюпери;Притча;320.0;IN_STOCK;1943;2024-02-28
9;Анна Каренина;Трагическая история любви замужней женщины к офицеру Вронскому;Лев Толстой;Роман;490.0;IN_STOCK;1877;2024-03-18
10;Сто лет одиночества;Сага о семье Буэндиа в вымышленном городе Макондо;Габриэль Гарсиа Маркес;Магический реализм;460.0;IN_STOCK;1967;2024-04-22
11;Портрет Дориана Грея;"История молодого человека, чей портрет стареет вместо него";Оскар Уайльд;Роман;350.0;IN_STOCK;1890;2023-08-15
12;Атлант расправил плечи;Философский роман о борьбе талантливых людей с обществом;Айн Рэнд;Философский роман;720.0;IN_STOCK;1957;2023-06-12
13;451 по Фаренгейту;"Антиутопия о обществе, где книги находятся под запретом";Рэй Брэдбери;Антиутопия;370.0;IN_STOCK;1953;2023-09-05
14;Повелитель мух;"Аллегория о группе детей, оказавшихся на необитаемом острове";Уильям Голдинг;Аллегория;340.0;IN_STOCK;1954;2023-07-20
15;Дюна;Эпическая сага о борьбе за контроль над планетой Арракис;Фрэнк Герберт;Научная фантастика;530.0;IN_STOCK;1965;2023-11-08
16;Улисс;"Модернистский роман, описывающий один день из жизни Леопольда Блума";Джеймс Джойс;Модернизм;580.0;OUT_OF_STOCK;1922;
17;Шантарам;Автобиографический роман о беглом заключенном в Бомбее;Грегори Дэвид Робертс;Приключения;620.0;OUT_OF_STOCK;2003;
18;Над пропастью во ржи;История подростка Холдена Колфилда и его бунта против общества;Джером Сэлинджер;Роман;330.0;OUT_OF_STOCK;1951;
19;О дивный новый мир;Антиутопия о технологически развитом обществе будущего;Олдос Хаксли;Антиутопия;410.0;OUT_OF_STOCK;1932;
20;Моби Дик;Эпическая история охоты на белого кита капитаном Ахавом;Герман Мелвилл;Приключения;480.0;OUT_OF_STOCK;1851;
21;Скотный двор;"Сатирическая притча о животных, свергнувших своих хозяев";Джордж Оруэлл;Сатира;310.0;OUT_OF_STOCK;1945;
22;Фауст;"Трагедия о ученом, заключившем сделку с дьяволом";Иоганн Вольфганг Гёте;Трагедия;440.0;IN_STOCK;1808;2024-12-03
23;Братья Карамазовы;"Философский роман о вере, сомнениях и отцеубийстве";Федор Достоевский;Роман;590.0;IN_STOCK;1880;2024-08-19
24;Гордость и предубеждение;История любви Элизабет Беннет и мистера Дарси;Джейн Остин;Роман;360.0;IN_STOCK;1813;2025-01-12
25;Властелин колец: Братство кольца;Первая часть эпопеи о путешествии хоббита Фродо;Джон Толкин;Фэнтези;610.0;IN_STOCK;1954;2025-03-22
26;Процесс;"Абсурдистская история о человеке, арестованном без предъявления обвинения";Франц Кафка;Абсурдизм;400.0;IN_STOCK;1925;2024-10-08
27;Лолита;Скандальный роман о одержимости взрослого мужчины девочкой-подростком;Владимир Набоков;Роман;430.0;IN_STOCK;1955;2025-05-30
28;Старик и море;Повесть о старом рыбаке и его борьбе с гигантской рыбой;Эрнест Хемингуэй;Повесть;290.0;IN_STOCK;1952;2025-07-14
29;Песнь льда и пламени;Эпическая фэнтези-сага о борьбе за Железный трон;Джордж Мартин;Фэнтези;670.0;IN_STOCK;1996;2025-09-05
30;Код да Винчи;Детектив о тайных обществах и религиозных заговорах;Дэн Браун;Детектив;390.0;IN_STOCK;2003;2025-08-28
